postprocess,bias,grouping,budget,per_group,low_mean,high_mean,delta,one_sided_t,one_sided_p,cohen_d,decision_p005,decision_p001
jpeg_q70,wrong_dct_1_7,correct_key,400,200,0.05713660642504692,-0.03920455649495125,-0.09634116291999817,-0.9590061228478748,0.8308754351211892,-0.09590062430301316,False,False
jpeg_q70,wrong_dct_1_7,correct_key,650,325,-0.02286006696522236,-0.039237331598997116,-0.016377264633774757,-0.20207420605428958,0.5800331013832072,-0.015851999610730912,False,False
jpeg_q70,wrong_dct_1_7,correct_key,1000,500,-0.012562206946313381,-0.0138629749417305,-0.001300767995417118,-0.02078059970172014,0.5082872780910201,-0.0013142784185471183,False,False
jpeg_q70,wrong_dct_7_1,correct_key,400,200,0.17912834882736206,0.0903649628162384,-0.08876338601112366,-0.9784801870720509,0.8357486038500611,-0.09784801458466504,False,False
jpeg_q70,wrong_dct_7_1,correct_key,650,325,0.184687077999115,0.023828014731407166,-0.16085906326770782,-2.096469285205104,0.9817578546013932,-0.16446057681728968,False,False
jpeg_q70,wrong_dct_7_1,correct_key,1000,500,0.1333734691143036,0.04432779550552368,-0.08904567360877991,-1.4833292921987273,0.9308279614351449,-0.09381397220643821,False,False
jpeg_q70,wrong_dct_6_6,correct_key,400,200,-0.01670997403562069,-0.11402542144060135,-0.09731544554233551,-1.1633396175269104,0.8772572202392976,-0.11633397057853273,False,False
jpeg_q70,wrong_dct_6_6,correct_key,650,325,-0.05299051105976105,-0.10679340362548828,-0.053802892565727234,-0.8798530173685302,0.8103519327201296,-0.06902137618941948,False,False
jpeg_q70,wrong_dct_6_6,correct_key,1000,500,-0.02553144469857216,-0.05502353608608246,-0.0294920913875103,-0.5979582565520015,0.7249926990337547,-0.037818210460834174,False,False
gaussian_0.005,correct_dct_4_5,correct_key,400,200,0.16519810259342194,0.4379380941390991,0.2727400064468384,2.697193142144197,0.0036699151385626567,0.2697193576910553,True,False
gaussian_0.005,correct_dct_4_5,correct_key,650,325,0.14725755155086517,0.4433479309082031,0.29609036445617676,3.6457081913754465,0.0001452581375204596,0.2859928919891278,True,True
gaussian_0.005,correct_dct_4_5,correct_key,1000,500,0.18747149407863617,0.4726516604423523,0.28518015146255493,4.346624821554246,7.71262784424076e-06,0.2749046604790645,True,True
gaussian_0.005,wrong_dct_1_7,correct_key,400,200,0.057677216827869415,-0.04093397781252861,-0.09861119091510773,-0.9826517347608977,0.8367540647935197,-0.09826517341185322,False,False
gaussian_0.005,wrong_dct_1_7,correct_key,650,325,-0.02694351226091385,-0.04014172405004501,-0.013198211789131165,-0.16343028198709525,0.5648798742172416,-0.012820515278730953,False,False
gaussian_0.005,wrong_dct_1_7,correct_key,1000,500,-0.018587561324238777,-0.0169487614184618,0.0016387999057769775,0.026242984727926202,0.4895347966273854,0.0016597470193633176,False,False
gaussian_0.005,wrong_dct_7_1,correct_key,400,200,0.18431174755096436,0.09791936725378036,-0.08639238029718399,-0.9552929032497958,0.8299553607279639,-0.09552926505884636,False,False
gaussian_0.005,wrong_dct_7_1,correct_key,650,325,0.18858815729618073,0.024298686534166336,-0.1642894744873047,-2.1514730315334916,0.9840664684943025,-0.16877544967180622,False,False
gaussian_0.005,wrong_dct_7_1,correct_key,1000,500,0.13441304862499237,0.04526437446475029,-0.08914867043495178,-1.4881031560120275,0.931457799128448,-0.09411587644850886,False,False
gaussian_0.005,wrong_dct_6_6,correct_key,400,200,-0.022934360429644585,-0.1133376881480217,-0.09040332585573196,-1.0863052219865212,0.8609446093510029,-0.10863053089780078,False,False
gaussian_0.005,wrong_dct_6_6,correct_key,650,325,-0.05567951500415802,-0.10289140790700912,-0.047211892902851105,-0.7777527647037193,0.7814840956633433,-0.061011943695310634,False,False
gaussian_0.005,wrong_dct_6_6,correct_key,1000,500,-0.028720524162054062,-0.05064834654331207,-0.02192782238125801,-0.4481040231629956,0.6729075362611754,-0.02834058131696095,False,False
gaussian_0.01,correct_dct_4_5,correct_key,400,200,0.16572760045528412,0.4377705752849579,0.27204298973083496,2.6893726685709676,0.0037549379197204273,0.2689372542100111,True,False
gaussian_0.01,correct_dct_4_5,correct_key,650,325,0.14814913272857666,0.443016916513443,0.29486778378486633,3.629232137072215,0.0001546155411997986,0.2847004241720021,True,True
gaussian_0.01,correct_dct_4_5,correct_key,1000,500,0.18838781118392944,0.4730058014392853,0.28461799025535583,4.3377202936382835,8.024458894538229e-06,0.274341517006999,True,True
gaussian_0.01,wrong_dct_1_7,correct_key,400,200,0.05814828723669052,-0.04099832847714424,-0.09914661943912506,-0.9875325316151323,0.8379504571770879,-0.0987532514140785,False,False
gaussian_0.01,wrong_dct_1_7,correct_key,650,325,-0.02647363767027855,-0.04010439291596413,-0.013630755245685577,-0.16878454041368252,0.5669856170237328,-0.013240573670920658,False,False
gaussian_0.01,wrong_dct_1_7,correct_key,1000,500,-0.018375655636191368,-0.01718893088400364,0.0011867247521877289,0.01900309500619813,0.4924215137981587,0.001201864001927994,False,False
gaussian_0.01,wrong_dct_7_1,correct_key,400,200,0.18513134121894836,0.0997992530465126,-0.08533208817243576,-0.9427341285073172,0.8267661730935976,-0.09427341476545481,False,False
gaussian_0.01,wrong_dct_7_1,correct_key,650,325,0.1887710839509964,0.025193287059664726,-0.16357779502868652,-2.14065994473213,0.9836331366750993,-0.1679271995898112,False,False
gaussian_0.01,wrong_dct_7_1,correct_key,1000,500,0.13395804166793823,0.04579060152173042,-0.08816744387149811,-1.4708684873325584,0.9291567387961644,-0.09302590399483862,False,False
gaussian_0.01,wrong_dct_6_6,correct_key,400,200,-0.022638702765107155,-0.11259634792804718,-0.08995764702558517,-1.0818717603619996,0.8599630109898634,-0.10818717247782177,False,False
gaussian_0.01,wrong_dct_6_6,correct_key,650,325,-0.055365342646837234,-0.10246795415878296,-0.047102611511945724,-0.7762826937780374,0.7810508025203811,-0.06089660710355076,False,False
gaussian_0.01,wrong_dct_6_6,correct_key,1000,500,-0.02870216779410839,-0.05042530223727226,-0.021723134443163872,-0.4439318467056563,0.6714012477953559,-0.028076720737349646,False,False
resize_28,correct_dct_4_5,correct_key,400,200,0.16404815018177032,0.4369945526123047,0.27294641733169556,2.7070184819947376,0.0035653475011753013,0.27070182505333384,True,False
resize_28,correct_dct_4_5,correct_key,650,325,0.14563621580600739,0.44244834780693054,0.29681211709976196,3.666052288376812,0.0001344303084187798,0.28758877348811235,True,True
resize_28,correct_dct_4_5,correct_key,1000,500,0.18577179312705994,0.47105321288108826,0.2852814197540283,4.35956341733397,7.2794131148211265e-06,0.27572298555263275,True,True
resize_28,wrong_dct_1_7,correct_key,400,200,0.057034727185964584,-0.03982905298471451,-0.0968637764453888,-0.9757502445753816,0.8350526386097411,-0.0975750304595432,False,False
resize_28,wrong_dct_1_7,correct_key,650,325,-0.026761900633573532,-0.03912331536412239,-0.012361414730548859,-0.15463057027250782,0.5614151272393563,-0.012130217524433929,False,False
resize_28,wrong_dct_1_7,correct_key,1000,500,-0.018413323909044266,-0.015932930633425713,0.002480393275618553,0.040127211839339386,0.48400048448886523,0.002537870090175722,False,False
resize_28,wrong_dct_7_1,correct_key,400,200,0.181261345744133,0.0947200208902359,-0.0865413248538971,-0.9688426315918713,0.8333540943930521,-0.09688425826481208,False,False
resize_28,wrong_dct_7_1,correct_key,650,325,0.18639764189720154,0.023366844281554222,-0.16303080320358276,-2.1605302021159036,0.9844219950149526,-0.16948593637948584,False,False
resize_28,wrong_dct_7_1,correct_key,1000,500,0.1334477812051773,0.0446113646030426,-0.0888364166021347,-1.5000853998500931,0.9330233765739626,-0.09487372125424962,False,False
resize_28,wrong_dct_6_6,correct_key,400,200,-0.023398537188768387,-0.11312755942344666,-0.08972902595996857,-1.0890776563978843,0.8615561947146695,-0.1089077892602952,False,False
resize_28,wrong_dct_6_6,correct_key,650,325,-0.05580667406320572,-0.10238701105117798,-0.04658033698797226,-0.7754689503418967,0.7808107914940414,-0.060832769731544584,False,False
resize_28,wrong_dct_6_6,correct_key,1000,500,-0.029018299654126167,-0.05046067386865616,-0.02144237421452999,-0.44292319702954625,0.6710366674046988,-0.028012917774381002,False,False
blur_r05,correct_dct_4_5,correct_key,400,200,0.15683230757713318,0.41911566257476807,0.2622833549976349,2.7218411422878517,0.0034124942456328117,0.2721841122876099,True,False
blur_r05,correct_dct_4_5,correct_key,650,325,0.140339195728302,0.42473965883255005,0.28440046310424805,3.676743902632449,0.00012904201270413996,0.28842750119650834,True,True
